cityid,cityname,state
1,Achalpur,Maharashtra
2,Achhnera,Uttar Pradesh
3,Adalaj,Gujarat
4,Adilabad,Telangana
5,Adityapur,Jharkhand
6,Adoni,Andhra Pradesh
7,Adoor,Kerala
8,Adra,West Bengal
9,Adyar,Karnataka
10,Afzalpur,Karnataka
11,Agartala,Tripura
12,Agra,Uttar Pradesh
13,Ahmedabad,Gujarat
14,Ahmednagar,Maharashtra
15,Aizawl,Mizoram
16,Ajmer,Rajasthan
17,Akola,Maharashtra
18,Akot,Maharashtra
19,Alappuzha,Kerala
20,Aligarh,Uttar Pradesh
21,AlipurdUrban Agglomerationr,West Bengal
22,Alirajpur,Madhya Pradesh
23,Allahabad,Uttar Pradesh
24,Alwar,Rajasthan
25,Amalapuram,Andhra Pradesh
26,Amalner,Maharashtra
27,Ambejogai,Maharashtra
28,Ambikapur,Chhattisgarh
29,Amravati,Maharashtra
30,Amreli,Gujarat
31,Amritsar,Punjab
32,Amroha,Uttar Pradesh
33,Anakapalle,Andhra Pradesh
34,Anand,Gujarat
35,Anantapur,Andhra Pradesh
36,Anantnag,Jammu and Kashmir
37,Anjangaon,Maharashtra
38,Anjar,Gujarat
39,Ankleshwar,Gujarat
40,Arakkonam,Tamil Nadu
41,Arambagh,West Bengal
42,Araria,Bihar
43,Arrah,Bihar
44,Arsikere,Karnataka
45,Aruppukkottai,Tamil Nadu
46,Arvi,Maharashtra
47,Arwal,Bihar
48,Asansol,West Bengal
49,Asarganj,Bihar
50,Ashok Nagar,Madhya Pradesh
51,Athni,Karnataka
52,Attingal,Kerala
53,Aurangabad,Maharashtra
54,Aurangabad,Bihar
55,Azamgarh,Uttar Pradesh
56,Bagaha,Bihar
57,Bageshwar,Uttarakhand
58,Bahadurgarh,Haryana
59,Baharampur,West Bengal
60,Bahraich,Uttar Pradesh
61,Balaghat,Madhya Pradesh
62,Balangir,Odisha
63,Baleshwar Town,Odisha
64,Ballari,Karnataka
65,Balurghat,West Bengal
