flight_number,airline,source_cityid,destination_cityid
681,Air India,279,279
726,AirAsia India,140,207
3786,SpiceJet,252,13
502,TruJet,207,120
1102,Air India,13,140
735,AirAsia India,140,702
712,TruJet,270,13
6238,TestIndigo,82,116
417,Jetlite,217,458
6772,TestIndigo,151,140
3570,Jet Airways,210,1114
2127,TestIndigo,102,140
202,TestIndigo,13,13
7684,TestIndigo,82,207
797,SpiceJet,120,635
6629,SpiceJet,702,13
950,SpiceJet,252,252
535,AirAsia India,102,82
525,AirAsia India,209,283
3403,SpiceJet,120,1170
708,TestIndigo,210,82
6904,TestIndigo,140,13
773,Vistara,458,283
185,GoAir,140,223
5032,TestIndigo,82,140
824,Air India,1148,140
2607,GoAir,458,217
729,AirAsia India,702,140
2177,TestIndigo,140,1019
667,Vistara,140,116
504,TruJet,207,120
316,SpiceJet,458,279
3404,SpiceJet,1170,82
981,SpiceJet,120,702
501,Vistara,82,116
706,Air India,151,283
794,TestIndigo,283,702
6339,TestIndigo,82,210
265,SpiceJet,458,192
806,Vistara,82,140
6537,TestIndigo,207,1148
776,TestIndigo,207,131
525,SpiceJet,82,13
3173,TestIndigo,120,207
791,GoAir,207,116
322,GoAir,458,140
950,AirAsia India,140,217
218,GoAir,210,140
7274,TestIndigo,207,120
7243,TestIndigo,207,101
444,TestIndigo,207,138
316,AirAsia India,283,458
2325,TestIndigo,635,140
729,SpiceJet,1157,120
3309,SpiceJet,82,82
2487,TestIndigo,82,140
5349,TestIndigo,458,82
5307,TestIndigo,458,120
408,GoAir,82,217
735,SpiceJet,120,635
6605,TestIndigo,120,730
314,TestIndigo,13,102
611,Vistara,140,223
449,TestIndigo,82,217
167,TestIndigo,140,82
726,SpiceJet,252,82
358,TestIndigo,11,11
732,Vistara,283,120
527,Air India,82,702
365,TestIndigo,192,120
462,Jet Airways,120,458
766,Jet Airways,210,140
143,Jetlite,210,116
911,TestIndigo,82,120
979,Vistara,140,13
354,Jetlite,140,458
7247,TestIndigo,207,212
7267,TestIndigo,210,13
3452,SpiceJet,13,138
618,Air India,207,458
7156,TestIndigo,207,207
5082,TestIndigo,458,325
742,Vistara,192,140
7201,TestIndigo,207,1170
175,TestIndigo,82,1019
259,TestIndigo,771,207
853,Vistara,458,82
746,AirAsia India,140,998
2011,TestIndigo,140,998
531,TruJet,120,842
6055,TestIndigo,13,116
3427,Air India,140,140
2158,TestIndigo,151,140
287,TestIndigo,82,13
6405,TestIndigo,82,730
3461,SpiceJet,101,207
405,GoAir,283,102
8663,SpiceJet,746,140
196,TestIndigo,82,325
451,AirAsia India,120,120
5382,TestIndigo,458,210
424,GoAir,140,140
642,Vistara,325,140
846,TestIndigo,207,140
113,TestIndigo,82,102
309,GoAir,120,13
716,AirAsia India,140,140
6752,TestIndigo,131,120
344,Jetlite,1148,458
505,TestIndigo,487,140
830,GoAir,82,82
7242,TestIndigo,735,207
319,SpiceJet,458,207
994,GoAir,120,279
553,TestIndigo,702,283
429,SpiceJet,458,252
891,Vistara,458,702
547,Air India,140,131
2058,TestIndigo,140,102
451,SpiceJet,252,458
2023,TestIndigo,101,140
6155,TestIndigo,217,207
688,SpiceJet,458,217
635,Air India,210,140
638,TestIndigo,82,207
6807,TestIndigo,192,13
604,Air India,82,458
758,Jet Airways,210,140
390,GoAir,458,217
716,SpiceJet,82,635
826,Jet Airways,138,140
699,TestIndigo,82,702
273,GoAir,635,82
738,TestIndigo,140,140
746,SpiceJet,207,702
345,TestIndigo,210,82
816,AirAsia India,140,702
829,Vistara,140,207
595,GoAir,702,207
141,TruJet,207,735
478,Jet Airways,82,458
517,Vistara,140,13
427,TestIndigo,82,102
974,SpiceJet,140,13
783,TestIndigo,1179,207
2474,AirAsia India,82,120
