cityid,hotelname,locality,starrating,rent,freebreakfast,freewifi,pincode,hasswimmingpool,hoteldescription
12,ADB Rooms The Light House Agra,"Kanak Estate, Taj Nagari Phase- II, Fatehabad Road Agra - 282001 (U.P.), Agra, Uttar Pradesh, 282001 India",3,2532,t,t,282001,f,"3-star hotel with 2 restaurants, near Taj Mahal"
12,Agra Regal Vista A sterling Resort,"A/C 1/2 Taj Nagri Phase II Agra, Uttar Pradesh, Agra, Uttar Pradesh, India",3.5,4938,t,t,282001,t,"3.5-star hotel with outdoor pool, near Taj Mahal"
12,Backpacker Panda Friends - Agra,"P-6, Taj Nagri, Near Shilp Gram, Eastern Gate, Taj Mahal,Tajganj, Agra, Uttar Pradesh, India",2,337,f,t,282001,f,"Hotel with restaurant, near Taj Mahal"
12,Courtyard by Marriott Agra,"Taj Nagri, Phase II, Fatehbad Road, Agra, Uttar Pradesh, 282001 India",5,7275,f,t,282001,t,"Luxury hotel with 2 restaurants, near Taj Mahal"
12,Crystal Sarovar Premiere Agra,"Fatehabad Road, Agra, Uttar Pradesh, 282001 India",5,6250,f,t,282001,t,"Luxury hotel in Agra with outdoor pool, restaurant"
12,Double Tree by Hilton agra,"B/H - 1&2, Taj Nagri Phase II, Agra, Uttar Pradesh, 282001 India",4,7125,f,t,282001,t,"4-star hotel with 2 restaurants, near Taj Mahal"
12,G Hotel,"B 2/1 Central Business Park, Kamla Nagar Bye Pass Road, Agra, 282005 India",3,2255,f,t,282005,t,"3-star hotel in Agra with outdoor pool, restaurant"
12,Hotel Aditya Palace,"Namner Crossing, Near S R Hospital, Agra, Uttar Pradesh, 282002 India",2,510,f,t,282002,f,"Family hotel in Agra with restaurant, free children's club"
12,Hotel Aicon Palace,"E-1/126, Taj Nagri Phase-2, 125 Feet Rd, Opposite Hotel Jaypee Palace, Agra, Uttar Pradesh, 282001 India",3,1262,f,t,282001,f,3-star Agra hotel with restaurant
12,Hotel Alleviate,"6/27/1A, Yamuna Kinara Road, Belanganj, Agra, Uttar Pradesh, 282004 India",3.5,2852,t,t,282004,f,"3.5-star hotel with restaurant, near Taj Mahal"
12,Hotel Atulyaa Taj,"538, Near Shilp Gram, Taj Mahal (Eastern Gate), Agra, Uttar Pradesh, India",3.5,3600,t,t,282001,t,"3.5-star hotel with outdoor pool, near Taj Mahal"
12,Hotel Aura Mumtaz Mahal,"Near Shilp Gram, Taj Mahal (Estern Gate), Agra, Uttar Pradesh, India",3,2100,f,t,282001,f,"3-star hotel with 2 restaurants, near Taj Mahal"
12,Hotel Bhoomi Residency,"1 Amar Lok, Taj Link Road, Near Shilpgram Tan Ganj, Taj Mahal, Agra, Uttar Pradesh, India",3,2650,t,t,282001,t,"Art Deco hotel with 2 restaurants, near Taj Mahal"
12,Hotel Clarks Shiraz,"54 Taj Road, Agra, Uttar Pradesh, India",5,6375,f,t,282001,t,"Luxury hotel with spa, near Taj Mahal"
12,Hotel Crystal Inn,"Behind TDI Mall, Fatehbad Road, Agra, Uttar Pradesh, India",3,1857,f,t,282001,f,"Luxury hotel with 2 restaurants, near Taj Mahal"
12,Hotel Crystal Retreat,"Crystal Tower 4th Floor, Opp. Axis Bank, Near Hotel Howard Park Plaza, Agra, Uttar Pradesh, India",3,1401,t,t,282001,f,"3-star hotel, convenient to Taj Mahal"
12,Hotel Dasaprakash,"18/163A/6, Shamsabad Road, Bibhav Nagar, Agra, Uttar Pradesh, 282001 India",3,2049,f,t,282001,f,"Edwardian hotel with restaurant, near Taj Mahal"
12,Hotel Deviram palace,"3/2, Pratap Pura, Agra, Uttar Pradesh, 282001 India",3,1636,f,t,282001,f,3-star Agra hotel with restaurant
12,Hotel Grace Agra,"Shamshabad Road, Tourist Complex Area,Near Taj Mahal, Agra, Uttar Pradesh, 282 001 India",3,588,f,t,282001,f,"3-star hotel with restaurant, near Taj Mahal"
12,Hotel Idea Inn,"44, Bansal Nagar, opp. Howard Plaza, Agra, Uttar Pradesh, India",3.5,1423,t,t,282001,f,"3.5-star hotel with restaurant, near Taj Mahal"
12,Hotel Karan Vilas,"Opp. Hotel J. P. Palace, Fatehabad Road, Agra, Uttar Pradesh, 282001 India",3.5,2813,f,t,282001,f,3.5-star Agra hotel with restaurant
12,Hotel Love Kush,"Fatehabad road, Opp ITC Mughal Hotel, Agra, Uttar Pradesh, India",2.5,2068,f,t,282001,f,"Hotel with 2 restaurants, near Taj Mahal"
