flight_number,airline,origin_cityname,destination_cityname
425,GoAir,Delhi,Hyderabad
423,GoAir,Delhi,Hyderabad
423,GoAir,Delhi,Hyderabad
423,GoAir,Delhi,Hyderabad
423,GoAir,Delhi,Hyderabad
423,GoAir,Delhi,Hyderabad
423,GoAir,Delhi,Hyderabad
422,GoAir,Delhi,Hyderabad
559,GoAir,Lucknow,Hyderabad
580,GoAir,Kochi,Hyderabad
587,GoAir,Kochi,Hyderabad
587,GoAir,Kochi,Hyderabad
553,GoAir,Ahmedabad,Hyderabad
552,GoAir,Ahmedabad,Hyderabad
553,GoAir,Ahmedabad,Hyderabad
552,GoAir,Ahmedabad,Hyderabad
701,GoAir,Jaipur,Hyderabad
431,GoAir,Jaipur,Hyderabad
385,GoAir,Jaipur,Hyderabad
894,GoAir,Bengaluru,Hyderabad
294,GoAir,Bengaluru,Hyderabad
294,GoAir,Bengaluru,Hyderabad
894,GoAir,Bengaluru,Hyderabad
952,GoAir,Guwahati,Hyderabad
373,GoAir,Goa,Hyderabad
662,GoAir,Goa,Hyderabad
370,GoAir,Goa,Hyderabad
370,GoAir,Goa,Hyderabad
572,GoAir,Goa,Hyderabad
121,GoAir,Kolkata,Hyderabad
121,GoAir,Kolkata,Hyderabad
125,GoAir,Kolkata,Hyderabad
421,GoAir,Hyderabad,Delhi
421,GoAir,Hyderabad,Delhi
424,GoAir,Hyderabad,Delhi
996,GoAir,Hyderabad,Delhi
616,GoAir,Nagpur,Delhi
618,GoAir,Nagpur,Delhi
158,GoAir,Bagdogra,Delhi
151,GoAir,Bagdogra,Delhi
851,GoAir,Bagdogra,Delhi
758,GoAir,Bagdogra,Delhi
208,GoAir,Lucknow,Delhi
208,GoAir,Lucknow,Delhi
212,GoAir,Lucknow,Delhi
188,GoAir,Lucknow,Delhi
346,GoAir,Mumbai,Delhi
329,GoAir,Mumbai,Delhi
329,GoAir,Mumbai,Delhi
327,GoAir,Mumbai,Delhi
319,GoAir,Mumbai,Delhi
465,GoAir,Mumbai,Delhi
465,GoAir,Mumbai,Delhi
439,GoAir,Mumbai,Delhi
439,GoAir,Mumbai,Delhi
341,GoAir,Mumbai,Delhi
643,GoAir,Mumbai,Delhi
345,GoAir,Mumbai,Delhi
712,GoAir,Leh,Delhi
205,GoAir,Leh,Delhi
221,GoAir,Leh,Delhi
134,GoAir,Patna,Delhi
134,GoAir,Patna,Delhi
944,GoAir,Patna,Delhi
132,GoAir,Patna,Delhi
150,GoAir,Patna,Delhi
218,GoAir,Patna,Delhi
218,GoAir,Patna,Delhi
144,GoAir,Patna,Delhi
144,GoAir,Patna,Delhi
720,GoAir,Ahmedabad,Delhi
718,GoAir,Ahmedabad,Delhi
714,GoAir,Ahmedabad,Delhi
720,GoAir,Ahmedabad,Delhi
720,GoAir,Ahmedabad,Delhi
718,GoAir,Ahmedabad,Delhi
714,GoAir,Ahmedabad,Delhi
116,GoAir,Bengaluru,Delhi
124,GoAir,Bengaluru,Delhi
118,GoAir,Bengaluru,Delhi
116,GoAir,Bengaluru,Delhi
116,GoAir,Bengaluru,Delhi
120,GoAir,Bengaluru,Delhi
120,GoAir,Bengaluru,Delhi
246,GoAir,Ranchi,Delhi
138,GoAir,Ranchi,Delhi
148,GoAir,Ranchi,Delhi
144,GoAir,Ranchi,Delhi
176,GoAir,Pune,Delhi
176,GoAir,Pune,Delhi
176,GoAir,Pune,Delhi
174,GoAir,Pune,Delhi
174,GoAir,Pune,Delhi
278,GoAir,Pune,Delhi
155,GoAir,Guwahati,Delhi
205,GoAir,Jammu,Delhi
186,GoAir,Jammu,Delhi
285,GoAir,Goa,Delhi
128,GoAir,Kolkata,Delhi
102,GoAir,Kolkata,Delhi
106,GoAir,Kolkata,Delhi
129,GoAir,Srinagar,Delhi
129,GoAir,Srinagar,Delhi
224,GoAir,Srinagar,Delhi
697,GoAir,Srinagar,Delhi
1315,GoAir,Ahmedabad,Varanasi
710,GoAir,Ahmedabad,Varanasi
244,GoAir,Mumbai,Bhubaneswar
244,GoAir,Mumbai,Bhubaneswar
244,GoAir,Mumbai,Bhubaneswar
736,GoAir,Patna,Bhubaneswar
309,GoAir,Chennai,Bhubaneswar
411,GoAir,Kolkata,Bhubaneswar
411,GoAir,Kolkata,Bhubaneswar
411,GoAir,Kolkata,Bhubaneswar
760,GoAir,Kolkata,Bhubaneswar
405,GoAir,Kolkata,Bhubaneswar
615,GoAir,Delhi,Nagpur
617,GoAir,Delhi,Nagpur
617,GoAir,Delhi,Nagpur
142,GoAir,Mumbai,Nagpur
516,GoAir,Patna,Nagpur
473,GoAir,Patna,Nagpur
809,GoAir,Bengaluru,Nagpur
812,GoAir,Bengaluru,Nagpur
812,GoAir,Bengaluru,Nagpur
283,GoAir,Pune,Nagpur
831,GoAir,Goa,Nagpur
835,GoAir,Goa,Nagpur
195,GoAir,Kolkata,Nagpur
157,GoAir,Delhi,Bagdogra
155,GoAir,Delhi,Bagdogra
151,GoAir,Guwahati,Bagdogra
981,GoAir,Chennai,Bagdogra
541,GoAir,Kolkata,Bagdogra
558,GoAir,Hyderabad,Lucknow
558,GoAir,Hyderabad,Lucknow
207,GoAir,Delhi,Lucknow
207,GoAir,Delhi,Lucknow
211,GoAir,Delhi,Lucknow
214,GoAir,Delhi,Lucknow
463,GoAir,Mumbai,Lucknow
