cityid,name,locality,cost,cuisine,votes,rating
12,2nd Wife,"Mehar Complex,Rakabganj, Central Agra",1100,"North Indian,  Italian,  Oriental ",17,3.8
12,Barbeque Nation,"Ashok Cosmos Mall,Sanjay Place, Central Agra",1100,North Indian,72,4.2
12,Barbeque Nation,"Tajganj, East Agra",1100,"North Indian,  Chinese,  Mediterranean",16,3.8
12,Beep Uncensored,"Tajganj, East Agra",1400,"North Indian,  Italian,  Fast Food",53,4.3
12,Berco's,"Civil Lines, North Agra",1300,"Chinese,  Thai",34,4.3
12,Berco's,"Tajganj, East Agra",1300,"Chinese,  Thai",6,4.6
12,Bikanervala,"Khandari, North Agra",600,"Fast Food,  Mithai,  North Indian,  South Indian",8,3.8
12,Bindani Ki Rasoi,"Kamla Nagar, North Agra",800,"North Indian,  South Indian,  Rajasthani",1,5
12,Bouffage,"Tajganj, East Agra",1000,"North Indian,  Italian,  Oriental ,  Seafood",6,4.5
12,Burger 27,"Sanjay Place, Central Agra",800,Fast Food,15,4.5
12,C'est Chine,"Jaypee Palace Hotel & Convention Centre,Tajganj, East Agra",3000,Chinese,5,4.4
12,Cafe G,"Holiday Inn Agra MG Road,Civil Lines, North Agra",2500,"North Indian,  Chinese,  South Indian,  Mughlai",14,4.5
12,Cafe Golden Elephant,"Ramada Plaza Agra,Tajganj, East Agra",2500,"North Indian,  Chinese,  Continental",3,4.6
12,Cafe Turquoise Cottage,"Tajganj, East Agra",1300,"North Indian,  Oriental ,  Continental,  Biryani",65,4.2
12,Capri Restaurant,"Civil Lines, North Agra",1100,"North Indian,  Mughlai,  Chinese",13,3.9
12,Chaska Restaurant,"Kamla Nagar, North Agra",900,"North Indian,  Chinese,  Fast Food,  South Indian",30,3.9
12,DJLECIOUS,"Civil Lines, North Agra",400,Bakery and Confectionary,3,5
12,Desi Cafe,"Jeoni Mandi, North Agra",1100,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",57,3.6
12,Desi Tadka Restaurant,"Lohamandi, West Agra",500,"North Indian,  Chinese,  Continental,  South Indian",1,5
12,Downtown Cafe,"Hotel Moti Palace,Rakabganj, Central Agra",2200,"North Indian,  Italian",41,4.4
12,Ek Number cafe,"MG Road, Central Agra",500,"North Indian,  Fast Food",46,3.3
12,Fakira,"Hotel Bhawna Clarks Inn,Lohamandi, West Agra",2100,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",52,4
12,Fatman & Co,"Khandari, North Agra",500,"North Indian,  Italian,  Continental",6,4.6
12,Filmy Zayka,"Hotel Alleviate,Mantola, Central Agra",1500,"North Indian,  Chinese",5,2.2
12,Golden China Restaurant,"Tajganj, East Agra",900,"Chinese,  Seafood",4,4.2
12,Green Chick Chop,"Khandari, North Agra",300,"North Indian,  Fast Food",3,5
12,Grill Inn,"Dayal Bagh, North Agra",600,"Italian,  Fast Food",1,3
12,Hangout- The Lounge Bar,"Lohamandi, West Agra",600,Finger Food,11,4.5
12,Healthmafia,"Civil Lines, North Agra",200,Health Food,1,5
12,Henry's The English Pub,"Radisson Hotel Agra Taj East Gate,Tajganj, East Agra",1800,Finger Food,8,4.8
12,Hotel S.R Palace & Restaurant,"Sikandra, North Agra",400,"North Indian,  Chinese",1,5
12,Hunger Wings,"Tajganj, East Agra",500,"North Indian,  Chinese",7,4.8
12,Hungernomia,"Civil Lines, North Agra",600,Fast Food,2,4.5
12,Kamats by Purplebeds,"Tajganj, East Agra",1000,"North Indian,  South Indian,  Fast Food",25,3.6
12,Kings Spoon,"Sikandra, North Agra",500,"North Indian,  Chinese,  Continental",5,4.8
12,Kitchen on Fire,"Sanjay Place, Central Agra",1100,"North Indian,  Chinese,  Continental",5,4.4
12,Lattice,"Crystal Sarovar Premiere,Tajganj, East Agra",1000,"North Indian,  Continental,  Chinese",16,4.6
12,Lobby Bar,"Holiday Inn Agra MG Road,Civil Lines, North Agra",2000,Finger Food,4,4.5
12,Lord Of The Drinks,"Tajganj, East Agra",1500,"North Indian,  Chinese,  European,  Italian",18,3.5
12,Maple Grand,"Tajganj, East Agra",1100,"North Indian,  Continental,  South Indian",4,4.7
12,Marleys The Milkshake,"Tajganj, East Agra",400,"Shakes,  Desserts,  Ice Cream",3,4.6
12,Merry Go Round,"Hotel Pushp Villa,Tajganj, East Agra",2100,"North Indian,  Continental,  Oriental ",43,3.9
12,MoMo 2 Go – The Patisserie Shop,"Courtyard By Marriott Agra,Tajganj, East Agra",500,"Coffee,  Tea",2,4.5
12,MoMo Cafe – The Multi Cuisine Restaurant,"Courtyard By Marriott Agra,Tajganj, East Agra",5000,"North Indian,  Fast Food,  Arabian",14,4.1
12,Molecule Air Bar,"Tajganj, East Agra",1900,"North Indian,  Italian,  Continental,  Oriental ",92,4
12,New Pizza King,"Shahganj, West Agra",200,"Italian,  Pizza",4,4.3
12,North 27,"Double Tree By Hilton Hotel Agra,Tajganj, East Agra",2500,"North Indian,  Italian,  Continental,  Asian",20,4.4
12,Oasis,"Radisson Hotel Agra Taj East Gate,Tajganj, East Agra",3000,"North Indian,  Chinese,  Continental",14,4.9
12,Paatra,"Jaypee Palace Hotel & Convention Centre,Tajganj, East Agra",3400,"North Indian,  Mughlai",9,4.3
12,Pankhuri Restaurant,"Hotel Moti Palace,Rakabganj, Central Agra",1000,"North Indian,  Italian,  Chinese",13,4.2
12,Pavilion Café,"Jaypee Palace Hotel & Convention Centre,Tajganj, East Agra",3100,"North Indian,  Continental",1,1
12,Pizza Inn,"Sikandra, North Agra",500,Fast Food,2,4.5
12,Plush Bar,"Double Tree By Hilton Hotel Agra,Tajganj, East Agra",2000,Finger Food,2,4.5
12,Raj Rasoi,"Kuberpur, East Agra",800,"North Indian,  Fast Food",7,3.5
12,Raj Rasoi,"Sanjay Place, Central Agra",1200,"North Indian,  Chinese,  Fast Food",23,4.3
12,Rolls Nation,"Sanjay Place, Central Agra",300,Fast Food,20,4.6
12,Roofmates,"Anna Ikon Complex,Sikandra, North Agra",1000,"North Indian,  Chinese",47,4.3
12,Sagar Ratna,"Khandari, North Agra",700,"South Indian,  North Indian,  Chinese",12,4.2
12,Selfie Restaurant,"Sikandra, North Agra",800,"North Indian,  South Indian",3,3.5
12,Shayhub,"Kamla Nagar, North Agra",200,Fast Food,4,4.2
12,Sky Grill,"Crystal Sarovar Premiere,Tajganj, East Agra",2100,"North Indian,  Continental",10,4.7
12,Star Ultimate Pizza,"Arjun Nagar, West Agra",400,Fast Food,2,4.4
12,Sumac,"Hotel Royal Regent,Tajganj, East Agra",1700,"Multi-Cuisine,  North Indian,  Oriental ,  Western",23,4.4
12,Tapas,"Jaypee Palace Hotel & Convention Centre,Tajganj, East Agra",3200,Finger Food,1,5
12,Tea Coffee And Snacks,"Sanjay Place, Central Agra",200,"Coffee,  Tea,  Fast Food",13,4.1
12,Tea'se Me - Rooftop Tea Boutique,"Tajganj, East Agra",1400,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Tea",33,4.1
12,The Forest,"Sikandra, North Agra",700,"North Indian,  Chinese,  South Indian",4,4.1
12,The Grand Buffet,"Jaypee Palace Hotel & Convention Centre,Tajganj, East Agra",2000,"North Indian,  Continental",2,4
12,The Greens Restaurant & Herbal Cafe,"Rakabganj, Central Agra",1000,"North Indian,  Chinese,  South Indian",4,4.2
12,The Restaurant,"Trident  Hotel Agra,Tajganj, East Agra",2000,"North Indian,  Chinese,  Continental",1,5
12,The Salt Cafe Kitchen & Bar,"Tajganj, East Agra",1400,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Bakery and Confectionary",246,4.3
12,Thor - The Party World,"Tajganj, East Agra",1600,"Italian,  Continental,  North Indian",6,3.9
12,Tirupati's Dosa Factory,"Civil Lines, North Agra",600,South Indian,35,4.1
12,Unplugged Courtyard,"Tajganj, East Agra",1200,"North Indian,  Continental,  Mediterranean,  Fast Food",54,4.2
12,Wonder Terrace Bar & Kitchen,"Radisson Hotel Agra Taj East Gate,Tajganj, East Agra",4200,"North Indian,  Continental,  Finger Food",18,4.3
13,1441 Pizzeria,"Gulbai Tekra, West Ahmedabad",700,"Italian,  Pizza,  Fast Food",51,4.2
13,1944 Restaurant by Havmor,"Shilp Aaron Complex,Bodakdev, West Ahmedabad",800,"North Indian,  Continental,  Italian,  Mexican,  World Cuisine,  Desserts",64,4.6
13,1944 Restaurants-The HOCCO Kitchen,"Adalaj Gandhinagar, North Ahmedabad",1500,"North Indian,  Fast Food",7,4.8
13,1944 The HOCCO Kitchen,"Amrapali Complex,Bopal, West Ahmedabad",800,"North Indian,  Continental,  Desserts",26,4.3
13,24 Carat Cafe,"Inder Residency,Ellis Bridge, Central Ahmedabad",600,"Fast Food,  North Indian",15,4
13,24-Jul,"The Metropole Hotel,Keshav Nagar, North Ahmedabad",1500,"North Indian,  Chinese,  Continental",13,3.4
13,429 Restaurant,"Ellis Bridge, Central Ahmedabad",800,"Multi-Cuisine,  North Indian,  Chinese,  Mexican,  Fast Food",3,5
13,56 Bhog,"Gandhinagar, North Ahmedabad",800,"North Indian,  Chinese,  Continental,  Italian,  South Indian,  Gujarati",14,4.4
13,650 - The Global Kitchen,"Satellite, West Ahmedabad",1000,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Thai,  Mexican,  Mediterranean",149,4.4
13,7 Square Restaurant,"Amraiwadi, South Ahmedabad",800,"North Indian,  Chinese",1,5
13,9 Eleven,"Siddhi Vinayak Business Hub,Shahibaug, North Ahmedabad",1000,"North Indian,  Chinese,  Continental,  Italian,  Fast Food,  Sizzlers",112,4.4
13,AB's - Absolute Barbecue,"Shivalik Shilp,Satellite, West Ahmedabad",1200,"North Indian,  Barbecue,  Seafood",539,4.4
13,Aagrah,"Shree Balaji Agora Mall,Chandkheda, North Ahmedabad",900,"Gujarati,  Desserts",198,4.4
13,Agashiye,"The House Of Mg Hotel,Lal Darwaja, Central Ahmedabad",1900,Gujarati,80,4.3
13,Alinea Restaurant,"3rd Eye-2,Navrangpura, West Ahmedabad",700,"North Indian,  Italian,  Continental,  Oriental ",56,4.3
13,Alpine Restaurant & Banquet,"Rangoli Complex,Ellis Bridge, Central Ahmedabad",800,"North Indian,  Chinese",163,4.3
13,Ambrosia The Multicuisine Restaurant,"Atithi The Hotel,Ellis Bridge, Central Ahmedabad",800,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",31,4.3
13,Amrutam,"Nikol, East Ahmedabad",800,Gujarati,9,4.6
13,Angithi By Mirch Masala,"Sumel Complex,Bodakdev, West Ahmedabad",1100,North Indian,18,4.8
13,Appu's Pizzeria,"Nikol, East Ahmedabad",500,"Italian,  Pizza,  Fast Food",2,3.8
13,Aroma,"Crowne Plaza,Satellite, West Ahmedabad",1200,"North Indian,  Continental,  Desserts,  Indian Cuisine",15,4.4
13,Arose Foods,"Bopal, West Ahmedabad",800,"North Indian,  Chinese,  Continental,  Italian,  Thai,  Mexican",65,4.3
13,Artisan,"Regenta Central Antarim,Navrangpura, West Ahmedabad",1000,"Multi-Cuisine,  North Indian,  Italian,  Chinese",87,3.9
13,Ashray The Restaurant,"Keshav Nagar, North Ahmedabad",400,"North Indian,  Sizzlers",12,4.2
13,Aura - All Day Dining,"Courtyard by Marriott,Bodakdev, West Ahmedabad",2100,"North Indian,  Asian,  Italian,  Continental,  South Indian,  Desserts",15,3.9
