cityid,station_code,station_name
28,ABKP,Ambikapur
6,AD,Adoni
4,ADB,Adilabad
458,ADH,Andheri
13,ADI,Ahmedabad Junction
5,ADTP,Adityapur
12,AF,Agra Fort
12,AGA,Agra City
12,AGC,Agra Cantt
11,AGTL,Agartala
38,AJE,Anjar
40,AJJ,Arakkonam
18,AKOT,Akot
33,AKP,Anakapalle
39,AKV,Ankleshwar Junction
23,ALD,Allahabad Junction
23,ALY,Allahabad City
55,AMH,Azamgarh
29,AMI,Amravati
32,AMRO,Amroha
325,AMS,Amausi
26,AN,Amalner
140,ANDI,Adrsh Ngr Delhi
34,ANND,Anand Junction
36,ANT,Anantnag
544,ANVR,Anand Vihar
45,APK,Aruppukkottai
44,ASK,Arsikere Junction
50,ASKN,Ashok Nagar
48,ASN,Asansol Junction
31,ASR,Amritsar Junction
35,ATP,Anantapur
53,AWB,Aurangabad
24,AWR,Alwar
110,BAM,Brahmapur
71,BARH,Barh
102,BBS,Bhubaneswar
458,BCT,Mumbai Central
1157,BCY,Varanasi City
458,BDTS,Bandra Terminus
100,BG,Bhongir
87,BGP,Bhagalpur
58,BGZ,Bahadurgarh
90,BH,Bharuch Junction
544,BHD,Badli
96,BHL,Bhilwara
1166,BHS,Vidisha
103,BHUJ,Bhuj
1152,BL,Valsad
62,BLGR,Balangir
65,BLGT,Balurghat
73,BME,Barmer
207,BMT,Begampet
82,BNC,Bangalore Cant
82,BNCE,Bangalore East
74,BNN,Barnala
99,BNW,Bhiwani
67,BPP,Bapatla
66,BQA,Bankura
1148,BRC,Vadodara Junction
70,BRG,Bargarh
60,BRK,Bahraich
1157,BSB,Varanasi Junction
458,BSR,Vasai Road
83,BTH,Bettiah
56,BUG,Bagaha
458,BVI,Borivali
93,BWIP,Bhawanipatna
111,BXR,Buxar
91,BYT,Bhatapara
1170,BZA,Vijayawada Junction
251,CAN,Kannur
131,CBE,Coimbatore Junction
131,CBF,Coimbatore Nrth
113,CBSA,Chaibasa
702,CCH,Chinchvad
116,CDG,Chandigarh
115,CH,Chandausi Junction
996,CHE,Srikakulam Road
128,CHRM,Chirmiri
292,CLT,Kozhikode
126,CLX,Chirala
252,CNB,Kanpur Central
283,CP,Kolkata
252,CPA,Kanpur Anwrganj
122,CPR,Chhapra
458,CSTM,Mumbai Cst
132,CTC,Cuttack
119,CTR,Chatra
148,DBB,Dhubri
151,DBRG,Dibrugarh
151,DBRT,Dibrugarh Town
138,DDN,Dehradun
458,DDR,Dadar
544,DEC,Delhi Cantt
544,DEE,Delhi S Rohilla
141,DGHR,Deoghar
149,DHI,Dhule
143,DHN,Dhanbad Junction
147,DJI,Dhoraji
544,DKZ,Delhi Kishangnj
544,DLI,Delhi
144,DMR,Dharmanagar
152,DMV,Dimapur
146,DNKL,Dhenkanal
153,DPU,Diphu
458,DR,Dadar
458,DRD,Dahanu Road
544,DSA,Delhi Shahdara
544,DSB,Sadar Bazar
544,DSJ,Delhi Safdarjng
154,DUMK,Dumka
155,DURE,Dumraon
156,DURG,Durg
157,EE,Eluru
279,ERN,Ernakulam Town
279,ERS,Eranakulam Junction
160,ETW,Etawah
170,FBG,Forbesganj
161,FDB,Faridabad
162,FDK,Faridkot
166,FKA,Fazilka
165,FTS,Fatehpur Sikri
167,FZD,Firozabad
179,GDA,Godhra Junction
190,GGN,Gurgaon
180,GHNA,Gohana
192,GHY,Guwahati
186,GMIA,Gumia
175,GRD,Giridih
172,GRMP,Gangarampur
189,GSP,Gurdaspur
325,GTNR,Gomati Nagar
171,GWD,Gadwal
193,GWL,Gwalior
182,GY,Gooty
197,HNS,Hansi
198,HPU,Hapur
203,HSR,Hisar
204,HSX,Hoshiarpur
202,HUP,Hindupur
283,HWH,Howrah Junction
207,HYB,Hyderabad Decan
12,IDH,Idgah Agra Junction
210,INDB,Indore Junction Bg
12,JAB,Yamuna Bdg Agra
224,JAM,Jamnagar
223,JAT,Jammu Tawi
212,JBP,Jabalpur
213,JDB,Jagdalpur
231,JGM,Jhargram
215,JGN,Jagraon
229,JHD,Jehanabad
221,JMP,Jamalpur Junction
226,JMU,Jamui
217,JP,Jaipur
220,JPG,Jalpaiguri
218,JRC,Jalandhar Cant
235,JU,Jodhpur Junction
218,JUC,Jalandhar City
1203,JUD,Jagadhri
252,KAP,Kalianpur
261,KAWR,Karwar
207,KCG,Kacheguda
262,KGQ,Kasaragod
255,KIK,Karaikal
82,KJM,Krishnarajapurm
458,KJT,Karjat
702,KK,Khadki
287,KKP,Kot Kapura
242,KLE,Kaithal
273,KMT,Khammam
278,KNE,Kishanganj
274,KNN,Khanna
283,KOAA,Kolkata
245,KPI,Kalpi
263,KPV,Kashipur
286,KRBA,Korba
257,KRMR,Karimnagar
260,KRR,Karur
239,KRY,Kadiri
270,KSD,Keshod
289,KTYM,Kottayam
259,KUN,Karnal
290,KVR,Kovvur
266,KVZ,Kavali
254,KXH,Kapurthala
458,KYN,Kalyan Junction
250,KZE,Kanhangad
309,LAR,Lalitpur
325,LC,Lucknow City
326,LDH,Ludhiana Junction
325,LJN,Lucknow Ne
311,LKA,Lanka
301,LKE,Lakheri
325,LKO,Lucknow Nr
308,LLI,Lalgudi
306,LLJ,Lalganj
316,LM,Limbdi
302,LMP,Lakhimpur
318,LOHA,Loha
323,LONI,Loni
312,LRD,Lar Road
458,LTT,Lokmanyatilak T
314,LUR,Latur
333,MAD,Maddur
347,MAHE,Mahe
120,MAS,Chennai Central
440,MB,Moradabad
464,MBB,Murshidabad
335,MBI,Madhubani
346,MBNR,Mahbubnagar
379,MBY,Mandi Dabwali
385,MDGR,Manendragarh
434,MDNR,Modinagar
363,MET,Malerkotla
452,MEX,Mukerian
349,MHRG,Mahendragarh
454,MKS,Muktsar
365,MKU,Malkapur
374,MLGH,Mandalgarh
368,MLO,Malur
397,MMR,Manmad Junction
435,MOGA,Moga
366,MOT,Malout
441,MRA,Morena
405,MRG,Margherita
432,MRGA,Miryalaguda
463,MRIJ,Murliganj
443,MRSH,Morshi
120,MS,Chennai Egmore
120,MSB,Chennai Beach
