train_no,train_name,source_station_code,destination_station_code
11013,COIMBATORE E,LTT,CBE
11014,LOKMANYA TT,CBE,LTT
11017,LTT-KIK WEEK,LTT,KIK
11018,KARAIKAL LTT,KIK,LTT
11021,DR-TEN EXPRE,DR,TEN
11022,TEN - DR EXP,TEN,DR
11035,SHARAVATHI E,DR,MYS
11036,SHARAVATI EX,MYS,DR
11053,LTT-AMH EXPR,LTT,AMH
11054,AMH-LTT EXPR,AMH,LTT
11059,CHHAPRA EXPR,LTT,CPR
11060,CPR LTT EXPR,CPR,LTT
11063,MS SA SUPER,MS,SA
11064,SA MS SUPERF,SA,MS
11071,KAMAYANI EXP,LTT,BSB
11072,KAMAYANI EXP,BSB,LTT
11073,LTT-MAS EXPR,LTT,MAS
11074,CHENNAI - LT,MAS,LTT
11077,JHELUM EXPRE,PUNE,JAT
11078,JHELUM EXPRE,JAT,PUNE
11087,VRL-PUNE EXP,VRL,PUNE
11088,PUNE-VRL EXP,PUNE,VRL
11091,BHUJ PUNE EX,BHUJ,PUNE
11092,PUNE BHUJ EX,PUNE,BHUJ
11095,AHIMSA EXPRE,ADI,PUNE
11096,AHIMSA EXPRE,PUNE,ADI
11097,POORNA EXPRE,PUNE,ERS
11098,POORNA EXPRE,ERS,PUNE
11101,PUNE-GWALIOR,PUNE,GWL
11102,GWL-PUNE EXP,GWL,PUNE
11107,BUNDELKHAND,GWL,BSB
11108,BUNDELKHAND,BSB,GWL
11125,IND-GWL EXP,INDB,GWL
11126,GWL-IND EXP,GWL,INDB
11203,NAGPUR JAIPU,NGP,JP
11204,JAIPUR NAGPU,JP,NGP
11205,LTT-NZB EXPR,LTT,NZB
11206,NZB-LTT WEEK,NZB,LTT
11265,JBP-ABKP EXP,JBP,ABKP
11266,ABKP-JBP EXP,ABKP,JBP
11405,PUNE-AMRAVAT,PUNE,AMI
11406,AMRAVAI-PUNE,AMI,PUNE
11407,PUNE-LJN EXP,PUNE,LJN
11408,LJN-PUNE EXP,LJN,PUNE
11447,SHAKTIPUNJ E,JBP,HWH
11448,SHAKTIPUNJ E,HWH,JBP
11651,JBP-SGRL INT,JBP,SGRL
11652,SGRL-JBP INT,SGRL,JBP
11701,JBP-INDB INT,JBP,INDB
11702,INDB-JBP INT,INDB,JBP
12003,LKO-NDLS SHA,LJN,NDLS
12004,NDLS-LKO SHA,NDLS,LJN
12007,MAS-MYS SHAT,MAS,MYS
12008,MYS-MAS SHAT,MYS,MAS
12009,SHATABDI EXP,BCT,ADI
12010,SHATABDI EXP,ADI,BCT
12013,NDLS-ASR SHA,NDLS,ASR
12014,ASR-NDLS SHA,ASR,NDLS
12017,NDLS-DDN SHA,NDLS,DDN
12018,DDN-NDLS SHA,DDN,NDLS
12019,HOWRAH RANCH,HWH,RNC
12020,RNC HWH SHAT,RNC,HWH
12023,HOWRAH PATNA,HWH,PNBE
12024,PATNA HOWRAH,PNBE,HWH
12025,PUNE-SC SHAT,PUNE,SC
12026,SC-PUNE SHAT,SC,PUNE
12027,MAS-SBC SHAT,MAS,SBC
12028,SBC-MAS SHAT,SBC,MAS
12029,SWARNA SHATA,NDLS,ASR
12030,SWARNA SHATA,ASR,NDLS
12031,NDLS-ASR-SHA,NDLS,ASR
12032,ASR-NDLS SHA,ASR,NDLS
12033,CNB NDLS SHT,CNB,NDLS
12034,NDLS CNB SHA,NDLS,CNB
12035,JP AF SHATAB,JP,AF
12036,AF JP SHATAB,AF,JP
12037,NDLS-LDH SHA,NDLS,LDH
12038,LDH-NDLS SHA,LDH,NDLS
12043,NDLS-MOGA SH,NDLS,MOGA
12044,MOGA-NDLS SH,MOGA,NDLS
12045,NDLS-CDG SHA,NDLS,CDG
12046,CDG-NDLS SHA,CDG,NDLS
12049,GATIMAN EXPR,AGC,NZM
12050,GATIMAN EXPR,NZM,AGC
12055,DDN JANSHATA,NDLS,DDN
12056,NEWDELHI JAN,DDN,NDLS
12073,HWH-BBS JAN,HWH,BBS
12074,BBS-HWH JAN,BBS,HWH
12077,MAS-BZA JAN,MAS,BZA
12078,BZA-MAS-JAN,BZA,MAS
12085,GHY-DBRG SHA,GHY,DBRG
12086,DBRG-GHY SHA,DBRG,GHY
12087,NHLN - GHY S,NHLN,GHY
12088,GHY - NHLN S,GHY,NHLN
12101,JNANESWARI D,LTT,HWH
12102,JNANESWARISU,HWH,LTT
12103,PUNE-LKO EXP,PUNE,LJN
12104,LJN-PUNE EXP,LJN,PUNE
12107,LTT-LJN EXPR,LTT,LJN
12108,LJN-LTT EXPR,LJN,LTT
12113,PUNE-NGP GAR,PUNE,NGP
12114,NGP-PUNE GAR,NGP,PUNE
12117,LTT MANMAD E,LTT,MMR
12118,MANMAD LTT E,MMR,LTT
12121,M P SMPRK KR,JBP,NZM
12122,M P S KRANTI,NZM,JBP
12129,AZAD HIND EX,PUNE,HWH
12130,HOWRAH PUNE,HWH,PUNE
12135,PUNE-NGP EXP,PUNE,NGP
12136,NGP-PUNE EXP,NGP,PUNE
12143,LTT-SLN SF E,LTT,SLN
12144,SLN LTT SF S,SLN,LTT
12145,LTT-PURI WEE,LTT,PURI
12146,PURI-LTT WEE,PURI,LTT
12151,SAMARSATA EX,LTT,HWH
12152,HWH-LTT SAMR,HWH,LTT
12159,AMI- JBP SUF,AMI,JBP
12160,JBP-AMI  SUF,JBP,AMI
12161,LASHKAR EXPR,LTT,AGC
12162,LASHKAR EXPR,AGC,LTT
12163,CHENNAI EXPR,DR,MS
12164,CHENNAI EXP,MS,DR
12165,LTT BSB SUP,LTT,BSB
12166,BSB LTT SUP,BSB,LTT
12167,LTT(T)-BSB S,LTT,BSB
12168,BSB-LTT SF E,BSB,LTT
12175,CHAMBAL EXP,HWH,GWL
12176,CHAMBAL EXPR,GWL,HWH
12177,CHAMBAL EXP,HWH,MTJ
12178,CHAMBAL EXP,MTJ,HWH
12179,INTERCITY,LJN,AGC
12180,INTERCITY,AGC,LJN
12189,JBP-NZM MAHA,JBP,NZM
12190,NZM-JBP MAHA,NZM,JBP
12191,SHRIDHAM SUP,NDLS,JBP
12192,JBP-NDLS SUF,JBP,NDLS
12193,YPR-JBP WEEK,YPR,JBP
12194,JBP-YPR WEEK,JBP,YPR
12205,NANDA DEVI E,NDLS,DDN
