train_no,station_code,seq
64087,NZM,1
19016,BCT,62
64062,NZM,6
69139,DRD,10
19019,BL,7
40048,TBM,1
12829,CHE,16
59023,BVI,3
78503,BBS,1
13152,SAN,45
22402,JRC,4
12928,BL,4
97153,DR,8
15630,NLR,38
12345,GHY,13
12415,RMA,12
12677,TCR,12
40342,TBM,1
40049,MSB,1
12020,DHN,6
22453,RMU,6
12933,ND,9
67265,BG,11
97402,TNA,1
14732,FKA,1
95128,KJT,1
18406,BRC,3
12191,MRA,6
22967,BRC,4
15602,NDLS,1
22910,BRC,22
13151,ASN,9
12253,BZA,9
12846,BBS,21
22942,MTJ,8
15646,GHY,1
12266,DEE,3
22867,BYT,3
13134,PNBE,25
7149,BAM,14
12355,MB,13
18646,TDD,12
22955,BH,8
12010,BVI,8
16508,VAPI,26
12968,NGP,21
97307,DR,8
98098,PNVL,1
55324,RMR,1
18214,ASKN,9
13050,PNC,70
54307,HPU,15
74003,DEE,2
99002,PNVL,1
22818,EE,10
59441,DRD,12
76824,TJ,9
11102,BSR,19
12979,BVI,3
54621,PTK,18
12904,MTJ,16
18005,BLGR,30
12863,TDD,18
13006,HWH,56
12275,ALD,1
98121,PNVL,2
40053,TBM,18
40415,TBM,18
14258,HPU,4
54633,SAG,25
66539,RMGM,9
12027,BNC,3
12241,CDG,1
19313,BSB,14
64453,BHD,5
97000,KYN,1
19020,MTJ,26
97350,DR,10
477,DSJ,5
98158,PNVL,1
53044,SNT,59
95728,KYN,1
19307,NDLS,16
51971,MTJ,1
69126,ANND,13
12722,MTJ,5
22630,KAWR,17
54055,DSA,25
63232,PWS,16
12328,MB,3
12346,KNE,7
97410,DR,10
40401,MS,4
18006,JGM,40
54793,SWM,1
57687,KCG,14
40012,MS,15
59441,ANND,62
19301,INDB,1
19307,SFY,5
18619,DUMK,17
56223,YPR,3
98099,PNVL,2
58415,CTC,1
15160,ALD,30
97432,DR,10
13151,MEX,88
98201,PNVL,2
93024,DRD,1
63233,RPR,14
97102,KYN,1
40305,MS,4
69169,ST,1
19056,JU,1
98182,PNVL,1
40112,MSB,2
12327,PNBE,9
69139,ST,34
12550,DURG,18
12674,AJJ,7
15160,BCY,36
16215,SBC,10
19708,BVI,37
96111,KJT,9
12895,CTC,6
16188,PGT,10
22868,AGC,3
13050,RPR,63
4992,PTK,14
56503,HUP,14
12309,NDLS,6
40380,TBM,1
66524,YPR,14
82631,PGT,9
22956,BH,15
5065,POU,6
40114,MSB,2
59441,ST,32
12879,KYN,3
40142,TBM,1
14055,CNB,56
14805,YPR,1
64957,AGC,1
76834,KRR,1
13010,HWH,78
64453,SNP,11
15648,BARH,26
22411,LKO,14
97438,DR,10
12927,BCT,1
14265,SAN,25
19312,PUNE,17
98172,PNVL,1
12017,SRE,5
12615,NLR,3
13049,SAN,80
12802,SSM,9
54803,ADI,58
95901,DR,3
64466,NDLS,19
54058,SMQL,1
12038,LDH,1
19056,BH,15
16306,TIR,8
12259,SDAH,1
19028,MSH,25
12628,AD,25
56262,MLO,9
99025,TNA,1
14681,MDNR,3
12843,MKU,34
11701,ASKN,8
12707,GWD,8
51912,DLI,36
69112,AKV,14
14511,MUT,25
12760,KMT,7
13320,RNC,1
13155,ASN,5
19202,JAM,3
19402,CNB,3
12925,NVS,7
56390,ERS,9
16502,MMR,18
64910,SSB,1
9003,NZM,5
11078,MEX,7
17406,NLR,55
12046,NDLS,4
12118,MMR,1
16106,TBM,28
22880,EE,7
12894,SBP,6
40391,MS,4
97133,KYN,24
97417,DR,8
19019,SRE,90
22122,KYN,9
97309,DR,8
12239,RTM,3
11036,RNR,10
13151,KNN,81
67265,WL,1
55323,KPV,4
82653,PNVL,13
14731,DLI,1
12334,BXR,10
64061,OKA,7
73429,BGP,1
11126,UJN,9
40321,MSB,1
74835,SUJH,29
17625,RAL,21
7430,WL,9
12193,MBNR,8
64094,SSB,1
54424,SSB,19
55310,KPV,3
13137,ASN,7
14853,IDH,18
12410,BYT,30
40403,MS,4
54783,HSR,40
17063,PTU,7
40324,MSB,6
17405,VKI,4
12044,MOGA,1
11206,KYN,19
16501,AN,7
19217,AKV,11
15205,MYR,24
12613,SBC,4
22387,HWH,1
12664,HWH,24
99004,PNVL,1
54614,GSP,7
58405,PRDP,11
97104,KYN,1
54060,DSA,23
74675,GSP,10
12440,NDLS,1
22681,MYS,1
64013,NZM,8
97062,TNA,8
12970,NLR,30
12608,KJM,3
51906,DSA,15
6006,TCR,3
19307,SVPI,9
11072,MMR,35
12166,LTT,16
19217,VAPI,5
12655,ADI,1
74848,MHRG,22
22936,BDTS,12
22137,ST,9
11059,AMH,17
14806,ADI,19
19021,VAPI,4
18450,PNBE,1
22686,TK,17
11072,NPNR,27
64098,NZM,14
12190,NZM,1
69113,ANND,8
40071,MSB,1
12826,CNB,2
12358,ASN,14
55312,KPV,1
12248,RTM,4
12238,BSB,13
12359,KOAA,1
22911,STA,15
12031,ASR,8
12168,BSB,1
22444,RTM,8
12656,ADI,42
12673,AJJ,2
22644,MAS,32
12229,HPU,7
12350,ALD,3
14731,PNP,7
17604,YNK,2
11077,LDH,56
11078,KNN,12
40128,TBM,1
18215,GWL,13
14801,PMY,9
22884,YNK,2
12548,PNU,3
19218,AKV,21
22664,BRC,11
56232,SBC,1
11101,BSR,5
51914,DLI,28
12434,MAS,10
97425,TNA,17
99007,PNVL,2
12085,DMV,5
22137,ANND,12
22683,NGP,18
69123,ANND,1
14723,DKZ,21
18609,LTT,29
57561,MMR,88
16229,PPI,27
16569,ATP,6
17015,MRGA,39
22912,SSM,11
97006,TNA,8
13133,SGG,33
15651,LDH,39
69109,BH,11
97045,KYN,17
12165,KYN,3
12616,NLR,38
19714,UJN,24
53212,PWS,11
40335,MSB,1
97401,DR,8
12876,PURI,41
15629,TBM,1
12926,PNP,13
12549,JAT,18
11036,DR,26
13168,DHN,20
54413,DEC,4
56514,SBC,1
95107,KJT,9
15011,MB,5
97313,TNA,17
19020,PWL,24
40013,MSB,1
13071,HWH,1
14318,MRA,16
11078,PUNE,65
18610,BSB,16
22942,JRC,3
63226,BSB,1
12721,MRA,41
22109,NZM,9
22692,NZM,1
97416,TNA,1
16021,MYS,24
12621,BZA,2
12961,INDB,19
22202,SDAH,3
22149,TCR,2
12231,LKO,1
12466,JU,1
12782,MYS,32
97399,DR,8
6001,TEN,14
22209,BRC,2
51910,DLI,36
12904,JRC,4
12677,BNC,2
19016,VR,59
69161,PLG,16
12319,MTJ,11
22992,VRL,1
40023,MS,4
12221,PUNE,1
13331,RJPB,21
12317,PNBE,9
12653,TBM,3
19314,PNBE,2
97088,KYN,1
7410,AWB,29
19408,DLI,8
12604,CLX,13
15632,GHY,1
18406,DURG,19
40406,MSB,2
54333,BSB,1
64905,OKA,17
14056,PNC,14
12896,PURI,1
13134,BGP,54
12906,JAM,28
14732,TRR,20
12926,SWM,23
11018,YG,22
12654,TMV,11
13071,JMP,21
16054,TPTY,1
19027,ADI,8
54252,MB,30
19218,VAPI,27
12464,JP,5
14646,MDNR,24
19577,ERS,7
64536,ANDI,15
14318,MTC,7
15651,KNE,9
12419,ON,2
22122,ORAI,3
99005,TNA,1
12145,DURG,10
14012,PNP,8
18646,WL,7
22956,BHUJ,1
54075,DSA,39
6547,SA,5
56503,YNK,4
22971,BVI,2
97328,DR,10
19311,RTM,13
13332,JMU,13
19045,CPR,35
15930,OGL,48
64206,LKO,13
22882,SC,10
19414,MSH,35
40025,MSB,1
12786,GWD,13
12166,TNA,15
12970,SA,36
12830,CLX,16
16057,PUT,6
82601,TBM,2
69102,ND,10
74024,DSA,35
12360,RJPB,2
12615,GWL,32
12882,PURI,1
12731,KRY,7
15056,KPV,2
58001,HWH,1
95131,KYN,1
95707,DR,3
97378,TNA,1
12627,WADI,15
63232,BXR,1
54636,HSR,29
12649,KCG,4
40410,TBM,1
69164,PNVL,19
15929,BBS,11
63546,DHN,1
12903,FDB,20
15647,BGP,39
12303,ASN,4
12409,PAR,18
14724,FZD,18
19223,UJA,4
15648,MMR,49
54308,DLI,1
59356,SGZ,49
12838,CTC,8
18450,BBS,24
12682,TUP,2
18215,GSP,24
12639,AJJ,2
24228,BSB,15
97037,DR,8
15160,BYT,5
12915,DEC,19
19577,BRC,24
12319,KOAA,1
97136,TNA,8
15652,CPR,21
11098,CLT,6
69110,BRC,1
12278,CTC,3
95723,KYN,7
76815,KIK,1
17626,SAP,11
95710,TNA,8
22927,BRC,17
14511,ALD,1
18464,NDL,14
22944,GDA,8
40091,MS,4
59046,BL,1
12829,BAM,18
19020,RK,8
14864,IDH,20
51913,SRE,32
14012,DLI,9
12901,BCT,1
12466,UJN,27
54635,MET,22
14266,SAN,25
54463,CH,1
96121,KJT,9
22911,HWH,34
19046,STA,18
22865,NGP,6
12678,PGT,4
67250,BMT,2
56232,RMGM,9
59439,BRC,53
12357,LDH,13
97024,DR,17
22618,SBC,9
56514,KIK,58
15632,AF,22
40089,TBM,18
93101,DRD,9
20814,SWM,8
12222,NGP,4
40006,MSB,18
12023,PNBE,14
51905,SMQL,24
25657,SNT,6
